theta0,theta1
0.0,0.0
0.05779813218390804,0.015148619391263255
0.10927102486437283,0.02793437532808123
0.15513627692845455,0.03862896934606161
0.19602994475634383,0.04747321080151025
0.23251580874546174,0.05468052756114942
0.26509358677971007,0.06044007773393967
0.29420621431384214,0.06491950778289253
0.32024629714353636,0.06826739720252856
0.34356183087781117,0.07061542538090614
0.3644612704462963,0.07208029221738418
0.3832180235039033,0.07276542047951033
0.4000744332016423,0.0727624647023718
0.41524530835241086,0.07215264861507567
0.42892105242614276,0.07100795058067069
0.44127043696365814,0.06939215432138295
0.4524430598177495,0.06736178023824893
0.46257152403798096,0.06496691089449326
0.471773369145465,0.06225192268996711
0.48015278293621183,0.05925613438716997
0.4878021187539539,0.056014381937907184
